排名,影院名称,票房,场次,省份,人次,城市,票价
345,赤峰万达广场店,14336.77,50,内蒙古,428,赤峰市,33
346,CGV影城 广州K11店,14333.21,38,广东省,175,广州市,82
347,上海市佰映三克映画影城,14329.01,37,上海市,199,上海市,72
348,福州苏宁影城苏宁广场店,14328.25,47,福建省,550,福州市,26
349,黄冈万达广场店,14324.0,49,湖北省,463,黄冈市,31
350,深圳保利国际影城,14306.56,40,广东省,309,深圳市,46
351,长春耀莱成龙影城（宽城店）,14294.52,44,吉林省,505,长春市,28
352,深圳博纳时代国际影城（皇庭店）,14269.57,52,广东省,353,深圳市,40
353,西昌万达广场店,14258.71,37,四川省,406,凉山彝族自治州,35
354,CGV影城 福州东二环店,14253.67,53,福建省,289,福州市,49
355,广州中华广场电影城,14240.63,43,广东省,375,广州市,38
356,衡阳万达广场店,14214.09,45,湖南省,403,衡阳市,35
357,红星电影世界上海吴中路店,14198.09,43,上海市,208,上海市,68
358,郑州惠济万达广场店,14194.61,57,河南省,446,郑州市,32
359,金逸福州宝龙IMAX店,14186.58,57,福建省,523,福州市,27
360,北京百老汇影城国瑞店,14168.97,39,北京市,294,北京市,48
361,广州万达影城广百新一城店,14167.48,67,广东省,287,广州市,49
362,上海金逸新恒星影城,14152.51,31,上海市,222,上海市,64
363,大庆市让胡路万达广场店,14127.53,43,黑龙江,348,大庆市,41
364,郑州万达影城金水奥纳店,14101.98,44,河南省,479,郑州市,29
365,上饶万达广场店,14094.36,50,江西省,373,上饶市,38
